id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
8689375,0,,,,,,,,,,
9509695,0,,,,,,,,,,
9156273,6,2015-11-07,2015-12-01,93.0,10.0,9.0,10.0,10.0,9.0,9.0,3.05
6185083,12,2015-05-17,2015-12-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.55
5738982,0,,,,,,,,,,
8969737,0,,,,,,,,,,
2500188,24,2014-03-31,2015-11-01,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.12
3416590,12,2014-07-01,2015-08-15,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.65
6074312,4,2015-08-03,2015-09-28,90.0,10.0,10.0,10.0,10.0,10.0,9.0,0.77
9696950,0,,,,,,,,,,
9920856,0,,,,,,,,,,
2268329,23,2014-02-20,2015-10-04,91.0,10.0,9.0,9.0,9.0,10.0,9.0,1.01
8868025,0,,,,,,,,,,
1049293,7,2015-07-04,2015-08-22,94.0,10.0,10.0,9.0,10.0,10.0,9.0,1.14
4401544,0,,,,,,,,,,
7275464,13,2015-07-15,2015-11-23,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.24
7823973,7,2015-10-11,2015-11-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.44
8507873,5,2015-10-04,2015-11-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.61
8131881,8,2015-10-03,2015-12-31,97.0,10.0,9.0,10.0,10.0,10.0,10.0,2.55
6592178,4,2015-06-14,2015-08-09,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.59
825574,40,2014-07-23,2015-12-10,98.0,10.0,10.0,10.0,10.0,10.0,9.0,2.26
194313,67,2011-10-11,2016-01-02,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.3
5470943,31,2015-05-25,2015-12-24,99.0,10.0,10.0,10.0,10.0,10.0,10.0,4.13
1547337,57,2013-08-30,2015-12-21,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1.99
3932674,9,2014-08-31,2015-10-18,91.0,10.0,10.0,9.0,10.0,10.0,9.0,0.55
3811955,18,2014-09-07,2015-09-01,91.0,9.0,9.0,9.0,10.0,9.0,9.0,1.11
6911511,0,,,,,,,,,,
5040885,3,2015-08-23,2015-10-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.67
1633025,66,2013-09-19,2015-12-16,94.0,10.0,9.0,10.0,10.0,10.0,10.0,2.36
7492006,9,2015-07-28,2015-09-29,94.0,9.0,9.0,10.0,10.0,10.0,9.0,1.68
7368959,15,2015-07-27,2015-11-09,80.0,9.0,8.0,9.0,9.0,10.0,8.0,2.78
6934128,9,2015-06-23,2015-11-11,98.0,10.0,9.0,10.0,10.0,10.0,10.0,1.38
8409695,0,,,,,,,,,,
7050204,9,2015-07-27,2015-10-26,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1.67
8926188,7,2015-10-29,2015-12-14,94.0,9.0,10.0,10.0,10.0,10.0,9.0,3.09
5297143,5,2015-02-15,2015-11-27,84.0,9.0,9.0,10.0,10.0,10.0,9.0,0.46
6228211,0,,,,,,,,,,
1815677,9,2015-02-09,2015-12-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.82
4388148,58,2014-10-26,2016-01-02,94.0,10.0,9.0,10.0,10.0,10.0,10.0,3.99
1432713,142,2013-08-10,2015-12-31,93.0,10.0,9.0,10.0,9.0,10.0,9.0,4.85
4454264,1,2015-01-25,2015-01-25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09
5164194,3,2015-03-30,2015-09-26,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0.32
6066570,1,2015-07-06,2015-07-06,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.16
1880734,20,2013-12-01,2015-08-11,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.78
7127036,2,2015-08-07,2015-08-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.4
10248139,1,2016-01-02,2016-01-02,100.0,,10.0,,10.0,,,1.0
1974131,182,2013-12-02,2015-12-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,7.15
8306581,1,2015-11-07,2015-11-07,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.51
6627184,1,2015-06-21,2015-06-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.15
2211594,69,2014-03-11,2016-01-02,93.0,10.0,10.0,10.0,9.0,10.0,9.0,3.11
8613792,1,2015-10-07,2015-10-07,100.0,,,,10.0,10.0,10.0,0.33
2367298,109,2014-02-16,2015-12-14,94.0,9.0,9.0,10.0,10.0,10.0,9.0,4.75
7871885,13,2015-08-25,2015-11-16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.93
7025898,14,2015-07-12,2015-11-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.37
722537,34,2013-04-11,2015-12-18,96.0,10.0,9.0,9.0,10.0,10.0,9.0,1.02
9435279,0,,,,,,,,,,
10135468,0,,,,,,,,,,
2882641,28,2014-05-05,2015-12-29,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.38
7805332,13,2015-08-23,2015-11-01,94.0,10.0,9.0,10.0,10.0,10.0,10.0,2.89
7584142,0,,,,,,,,,,
1307898,16,2013-07-26,2015-11-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.54
9435483,0,,,,,,,,,,
3446274,19,2014-07-17,2015-11-14,92.0,9.0,10.0,9.0,9.0,10.0,9.0,1.06
3041619,25,2015-06-15,2015-11-25,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3.68
10139271,0,,,,,,,,,,
47196,353,2010-09-08,2015-12-14,93.0,10.0,10.0,10.0,9.0,9.0,9.0,5.44
8296857,4,2015-11-28,2015-12-27,85.0,9.0,10.0,10.0,9.0,10.0,10.0,3.16
8845144,0,,,,,,,,,,
5969069,7,2015-05-01,2015-12-30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.84
9368677,1,2015-12-30,2015-12-30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
6837338,12,2015-07-05,2015-12-07,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.96
6865696,0,,,,,,,,,,
6591894,16,2015-07-13,2015-11-28,95.0,10.0,9.0,10.0,10.0,9.0,10.0,2.73
3773784,30,2014-08-08,2015-10-24,84.0,9.0,8.0,9.0,9.0,9.0,8.0,1.75
10318171,0,,,,,,,,,,
3666970,16,2014-08-10,2015-12-03,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0.94
3994634,25,2014-09-06,2015-11-12,90.0,9.0,9.0,9.0,10.0,9.0,9.0,1.54
8090541,5,2015-09-05,2015-10-12,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.23
7222136,7,2015-08-05,2015-10-25,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.37
299817,5,2013-07-14,2014-06-12,70.0,6.0,4.0,10.0,10.0,10.0,8.0,0.17
5927083,13,2015-04-14,2015-11-22,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.47
6066185,17,2015-05-26,2015-10-30,82.0,9.0,9.0,8.0,8.0,10.0,8.0,2.28
5685908,12,2015-04-09,2015-11-07,95.0,9.0,9.0,9.0,10.0,10.0,9.0,1.33
9023202,0,,,,,,,,,,
707424,26,2013-01-02,2015-09-15,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0.71
7151093,0,,,,,,,,,,
8924032,1,2015-12-26,2015-12-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
1002835,6,2014-05-25,2015-12-22,80.0,8.0,8.0,7.0,8.0,10.0,8.0,0.31
8670484,2,2015-10-13,2015-10-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.71
9727246,1,2015-12-13,2015-12-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
2526405,95,2014-03-23,2015-11-15,96.0,10.0,10.0,10.0,10.0,10.0,10.0,4.36
4710869,14,2015-03-30,2015-12-19,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.49
3504521,25,2015-04-15,2015-12-15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,2.83
6637899,22,2015-06-07,2016-01-03,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.11
3811872,20,2014-08-25,2015-12-12,85.0,8.0,8.0,9.0,9.0,9.0,8.0,1.2
3720731,34,2014-08-12,2015-10-11,94.0,9.0,10.0,10.0,9.0,10.0,9.0,2.0
3926008,27,2014-08-29,2015-12-29,92.0,9.0,9.0,10.0,9.0,10.0,9.0,1.64
9863565,2,2015-12-23,2015-12-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
7824426,9,2015-08-15,2015-10-25,93.0,10.0,9.0,9.0,9.0,9.0,9.0,1.89
2778101,15,2014-04-27,2015-08-30,96.0,10.0,9.0,9.0,9.0,10.0,9.0,0.73
10019082,0,,,,,,,,,,
6586979,23,2015-06-14,2015-12-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.37
9618016,0,,,,,,,,,,
442487,104,2012-05-30,2015-10-25,94.0,10.0,9.0,10.0,10.0,10.0,9.0,2.37
8457402,5,2015-10-10,2015-12-07,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.72
2297917,45,2014-02-16,2015-10-20,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1.96
1920477,24,2014-05-25,2015-08-21,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1.22
7860837,4,2015-12-01,2016-01-03,100.0,10.0,10.0,10.0,10.0,9.0,10.0,3.43
5304739,82,2015-03-04,2015-12-31,94.0,10.0,9.0,10.0,10.0,10.0,10.0,8.01
8051134,7,2015-11-09,2015-12-16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3.68
1557314,4,2013-09-05,2015-08-22,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.14
451012,2,2012-06-28,2013-12-30,98.0,8.0,10.0,10.0,10.0,10.0,10.0,0.05
6797786,11,2015-06-28,2015-08-30,95.0,9.0,10.0,10.0,10.0,9.0,9.0,1.73
2474569,34,2014-06-25,2015-09-13,91.0,10.0,9.0,10.0,10.0,9.0,9.0,1.82
689309,5,2013-01-09,2014-04-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.14
5059981,0,,,,,,,,,,
3986793,26,2014-08-30,2015-08-23,92.0,10.0,10.0,10.0,10.0,9.0,9.0,1.58
1594313,16,2013-09-05,2015-09-20,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0.56
4936647,29,2015-01-17,2015-10-08,91.0,9.0,10.0,9.0,10.0,9.0,9.0,2.46
1594219,21,2013-10-02,2015-09-26,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0.76
8799588,1,2015-11-21,2015-11-21,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0.67
7662775,17,2015-08-07,2015-10-11,89.0,10.0,10.0,9.0,10.0,10.0,9.0,3.38
490076,84,2014-05-28,2015-12-27,90.0,9.0,9.0,10.0,10.0,10.0,9.0,4.29
9217030,2,2015-11-29,2015-12-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.62
7756839,12,2015-08-10,2015-11-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.43
116221,25,2011-06-21,2016-01-01,97.0,10.0,10.0,9.0,9.0,10.0,9.0,0.45
6921373,16,2015-08-18,2015-12-28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,3.43
7743727,0,,,,,,,,,,
649243,144,2012-09-11,2015-09-26,95.0,10.0,10.0,10.0,10.0,10.0,9.0,3.57
2989758,48,2014-06-03,2015-11-29,93.0,10.0,9.0,10.0,10.0,10.0,9.0,2.48
4518474,44,2014-11-24,2015-11-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3.24
1796302,150,2013-11-12,2015-12-10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.74
53803,41,2010-10-22,2015-09-16,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0.65
6867053,0,,,,,,,,,,
9693230,0,,,,,,,,,,
6750264,4,2015-06-28,2015-09-28,90.0,10.0,10.0,10.0,10.0,10.0,9.0,0.63
6392029,1,2015-08-12,2015-08-12,,,,,,,,0.21
2731253,81,2014-04-22,2015-12-28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.9
5625964,33,2015-06-02,2015-10-18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.56
38545,67,2010-11-18,2015-12-28,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1.07
8699046,0,,,,,,,,,,
9174327,1,2015-11-29,2015-11-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.81
6169489,0,,,,,,,,,,
9511777,1,2015-11-29,2015-11-29,80.0,8.0,8.0,10.0,10.0,10.0,10.0,0.81
3489837,4,2014-07-29,2015-07-28,95.0,10.0,9.0,10.0,10.0,10.0,10.0,0.23
5905958,7,2015-08-07,2015-10-18,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1.39
3768742,10,2014-08-05,2015-08-09,94.0,9.0,10.0,10.0,10.0,10.0,9.0,0.58
1593939,69,2013-09-01,2015-09-27,91.0,9.0,10.0,10.0,10.0,10.0,9.0,2.42
6087451,45,2015-05-02,2015-12-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.44
6179956,21,2015-05-19,2015-12-06,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2.73
10060674,0,,,,,,,,,,
9822848,0,,,,,,,,,,
2391699,103,2014-06-01,2015-12-29,99.0,10.0,10.0,10.0,10.0,10.0,10.0,5.3
1118153,77,2013-05-14,2015-12-10,94.0,9.0,9.0,10.0,10.0,10.0,9.0,2.39
1100686,72,2014-05-25,2015-12-27,94.0,10.0,9.0,10.0,10.0,10.0,9.0,3.66
9925458,0,,,,,,,,,,
1146966,58,2013-06-08,2015-12-23,94.0,9.0,9.0,10.0,10.0,10.0,10.0,1.85
2525172,108,2014-04-21,2015-12-26,96.0,9.0,10.0,10.0,10.0,10.0,10.0,5.19
8463726,5,2015-10-04,2015-12-11,88.0,8.0,8.0,9.0,10.0,10.0,8.0,1.61
51826,59,2010-10-18,2015-09-01,99.0,10.0,9.0,10.0,10.0,10.0,10.0,0.93
7805491,7,2015-08-13,2015-09-28,94.0,10.0,10.0,10.0,10.0,10.0,9.0,1.45
7701014,2,2015-09-19,2015-10-16,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.56
1279660,233,2013-07-14,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,7.72
5252877,12,2015-03-28,2015-12-28,94.0,10.0,10.0,9.0,10.0,10.0,9.0,1.27
935845,37,2013-06-17,2014-08-25,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1.19
3844087,25,2014-11-28,2015-12-29,94.0,10.0,10.0,9.0,9.0,10.0,9.0,1.86
6923948,3,2015-08-02,2015-08-09,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0.58
7178239,2,2015-09-06,2015-11-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
2075094,35,2014-01-06,2015-10-04,92.0,9.0,9.0,10.0,9.0,10.0,9.0,1.44
5892185,21,2015-04-21,2016-01-02,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.43
7596455,2,2015-08-24,2015-09-27,80.0,8.0,9.0,10.0,10.0,10.0,7.0,0.45
9513636,0,,,,,,,,,,
5992032,9,2015-05-10,2015-11-22,91.0,9.0,9.0,9.0,10.0,9.0,9.0,1.13
3534444,3,2014-08-02,2014-08-12,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0.17
8080939,1,2015-09-14,2015-09-14,,,,,,,,0.27
5525073,7,2015-07-24,2015-12-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.27
5402304,9,2015-03-10,2015-09-28,95.0,9.0,10.0,10.0,10.0,9.0,10.0,0.9
6288141,4,2015-08-05,2015-10-14,95.0,9.0,10.0,10.0,10.0,10.0,10.0,0.78
1781723,40,2014-05-19,2015-12-18,96.0,10.0,9.0,10.0,10.0,10.0,10.0,2.01
2061463,1,2015-12-14,2015-12-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
4871348,76,2015-01-02,2016-01-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6.2
7616031,5,2015-09-16,2015-10-30,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.35
7761509,0,,,,,,,,,,
6516775,10,2015-06-23,2015-12-28,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1.53
5848330,13,2015-05-23,2015-12-06,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1.72
9189391,0,,,,,,,,,,
9533803,2,2015-12-01,2015-12-20,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.71
5902452,1,2015-04-29,2015-04-29,,,,,,,,0.12
219532,41,2012-05-19,2015-09-28,95.0,9.0,9.0,10.0,10.0,9.0,9.0,0.93
7217102,4,2015-07-20,2015-08-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.71
2727808,58,2014-05-05,2015-12-23,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.85
7151417,10,2015-07-29,2015-12-20,90.0,9.0,9.0,10.0,9.0,10.0,9.0,1.88
7069143,17,2015-07-07,2015-12-20,86.0,9.0,9.0,9.0,9.0,9.0,9.0,2.8
8683011,6,2015-10-21,2015-12-07,97.0,10.0,10.0,10.0,9.0,10.0,10.0,2.37
4357979,16,2014-11-10,2015-10-10,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.14
8118110,0,,,,,,,,,,
5766989,37,2015-03-29,2015-11-12,94.0,10.0,10.0,10.0,10.0,10.0,9.0,3.94
